username,password_hash,token,deleted
vicente51,$2b$12$OqIzEAzmxW.1wETqyENMkuJwBaQmMuptZZFCbEePPLA75igPZaFHe,ba7aa3c20c11d15119ca1a671cac399dd743afe2f87c440bfd73759cb599b1c7,0
vda-conceicao,$2b$12$tp8B8b0cCisJvKwuhnZET.KLgeC8JyfMb3DYXSI0LShGfDbJN9eGq,dce2495ae9c13d50d1e111d0cb5fba2a6ff0364831761fe6d9bb287a48707fac,0
hda-cunha,$2b$12$YuLCXyYtjO3P1HQEEZRvT.THzRLp8ZrQvv0VasGUV8Wwt6UbdoX6K,d67d7ccc30c64926ed02432cc95943491496714daf706a112c506b4882d526ea,0
rhavi75,$2b$12$z9J9iyuOgXUTmWNCOXcoC.ck/rQtwvPLaz23R8yRcuChpzuboEzxO,7dced8ef75143ef7951654621bafebb5bb198fd3cc8028acc498da860ba16d5d,0
ncardoso,$2b$12$BOHNLTP7UFYjbpf4sVMB9edGPK/CqwEEB3HlbYuC32aw/OO2F6x3q,a22a2268c6bb1dd750a866f7d61ac3150bd9f13110ff5430025f8689e7f22bd2,0
heloisapires,$2b$12$yJO2rMPMvde8B4l2ARkaUOzToaKSTPGK7.GwR/8U0zvbauTThD6Ke,af0d9c20f872fd3838a2705f8539189f1c04f90f3cb0771f3b45f47ccdd88e8f,0
catarina35,$2b$12$dC7EBvH6obDDtGORn/FBxuBHjc/aJ1CKjHDdLp9mVFEGUGanxYDiS,e3ee23847bd847a082cc1a36207b3f31c3354c9b2916e1c5fd1f053e4f9c9ad7,0
pereirabruno,$2b$12$KCKvbgCx2tZso9SxNzmmTOzJY94sthOkUdEO1URO6m1fpZaFqPdLa,11d93c2ff2d5ce50dd60b89df38c7473ebde2f0918b77ed1870dceeba73f0939,0
pleao,$2b$12$mFM1aLfPSZCCbq1xYOmTR.T9IFd3cTr4vkbFzFn35gZo2DtiDwbBK,1a878051d1e682c032abf2bedf485b022f9de216b39240a59374489c2f92e258,0
vitor-hugoramos,$2b$12$9BQjoNwsXxW0/uGoDUEBXuswaw6YHjx7GZ3kTZiaDJQgtyNdgJMXG,1b47761f9641d06db7a11669df55d51f0d3b4858a0a93f178371b71e52d1dcad,0
josejesus,$2b$12$Ey5z4qgcEBtxtGQYXZbA1.EDrmjbilMPDtLYMzXZwyjgFox8gyOUy,04ec9f8149b4f35ac632aeb2bf53912b8bcba27cf363ec167a8cdf84daa9647a,0
pimentarebeca,$2b$12$/B7j8I5mDLU2r72uMuHvqechk1UPSjee/89eR41W0ukiWMk2zaCuq,dd6ba29888a4ac4cb779451a6a76a51347d918e223cfcfa83e07e0bbc4375376,0
mfreitas,$2b$12$qmKpKFHc5ozFi9Kp2GiIHeDcNT7I10/AClmLCdZkVDiQ4dWLwbuV.,4477d44dfa2357b7bc1db8e2cd01d2bbe1f520dd9917c7e633b0b22509e3e00f,0
ana-sophia66,$2b$12$7OOMmh9X8O1PzReiZKV7aesI0hZqU49YoFlCxvIOnwhvtrAIPFAa6,8e2fe3611b77e70ea570de63a3f7ff9f9e505ab52f0da5a702a3bd092df73454,0
albuquerqueeduarda,$2b$12$nwxMtR1mWBQfGs58UvE5TuAjDc2hHFrvdxgsRP2AC.8dqlk4swpUK,d222db2cb48c7dfefb081e4741d0409ad86bad08b41a27ce077c2564454193b1,0
fernandesnathan,$2b$12$X44QoeSzPZy8p19ikFiTker3j/V1qs519E1hl4vELXFjWCUr0KrSe,4e608bde7a66d1c9de2b7ce59f869e7ae05a2a1d027ffe15112307b052009c82,0
melissapereira,$2b$12$u7OF3SVhvhJPZi.poDEtRejWXfMxZb3yzH2LCKYS4jPd30vsY8XMW,3b5b8ead9d9c1c3be7be2f06fa71e287574361d5292cb4547527c315ff1e1d7c,0
carlos-eduardo56,$2b$12$WIS8OloKxHHkjupUFffRUuNrW6yBE3EF.a1pk/QrZkdWL1htcDXKu,893339bfff8ad3161858b2c5d3953596c6e76d9b83a50787b896bf21bf0acbbf,0
allana83,$2b$12$xCEhlyE9nX/YL4X04EbuP.XSF6y0XPhjG4fRVtI/mIZ7QZJwH6N1a,4987f911f91fd72c0d703bc59f8fd0953292009bfda7831b901159372dcf4fd2,0
aragaoarthur-miguel,$2b$12$Dc3La2y2Sawftgxy3ARHCOl2wRaBkpwOjxZU4tiBtJRhQvHOMWiqi,7e621e17c214b1cbfff5513a11365d5f9b76fe6655fd79c0b3f26de9dbba8468,0
enunes,$2b$12$NDW1h0oEBDls4ffjcR5o4.iZp46kk5lmm3AYvLRZ3PG4x7bZqlmvO,283b9af135464edabd1929571c59effe63defd9d6f1570a1f00832df424c4ced,0
cavalcanteana-luiza,$2b$12$XRuzbJKl3tqCbdGqMXDCJ..BftE/UL3wHajSx.9G4CjuPK0q8iOEy,75b5282bf97bde359e84f3f57a0cc176a4082a758db346e7b7a312c9844b1b49,0
rpires,$2b$12$cYc2jS/62XyuImHaWjBG8.3rgmlFD.9roQ/ue01lf0jLmkvSo1nPi,569b5fa77e3bd0bb0a14ecce9a31b3bf272329ae4eb5418a17e4698ecffb6692,0
novaisluisa,$2b$12$rttVKFa20Gj0QiWjHbllm.7RK9eHPsO2c.zeob7BQxn6xlgt9Jxiy,6c49261d701144418f8a4c377c4db5c533041bc0d28f49d0bf92738226168987,0
dsa,$2b$12$6N83G5GKocZBg6u/bCTI7uJfbs0roNOJgodTm0T811lrIq/4kjb1C,6a470d9e4df13ab8317cad475df78e5e3b1c9a0b5bb122d916ceb78ca70bbf7b,0
ravyda-cruz,$2b$12$HzSVRWucpEmfQ1YaOIQ6ue2VdQSdlCr9sSjoiZeFB/D.ma85Zbham,a6c450e38223be6c8bcc9f4f06efe353183834683acb265584be0bc4b1b46ade,0
vnunes,$2b$12$SWeQOgsWUsb57ielb2auI.vH5aN5jFGuPgCxoJWXELMr6pbqVnvLW,0b26e746dc60817b0b2acf4261c95f32d764ffbffc821e2655bc36db002fc692,0
da-cruzcecilia,$2b$12$p1vOf6WAXkDZ8HN4nD8YVuoS8RbhN43Ml/Hpe.tzZoparqK.uPrOG,f1aef46d524a7258bdd1df6e5a0ecc6e68d2b5ba895d49a61f4913ec45f728a0,0
mariana98,$2b$12$1MPCi7l/MofGrXKIsCU.ieMVH5EhPZGSz/eYsFVpSZVZPF9L6ky8G,d9c4c2039b1c9d3b8d2ddb476590f61099c799ff76e7c604b44c9c64cb331519,0
isadora84,$2b$12$ZhCN1MaNivt7aw9.SwDahOl6GNhSwjF7VxxwJg0OIIHSIyawnF.Uu,9d228f6f36e48f264f3335f72df9566d3dbab587b843ea28483a3ae44ff69d97,0
luigirezende,$2b$12$mDKvjmGj5ZLCxtQRcxhNEOlfkx1sK7xrko5Xzb1sQWJuRCcduYf.C,7dfbe45cc6027dddd401d908dd2144e3c21b90e15ff1ccec30cc8e589ed16b6d,0
da-rosacaroline,$2b$12$n1wNocpltxDq3RdCfQUFDe8NpvBYLwPc1geO1DnTiyEuUBQafm9BW,36db6337d44300efee79105596839e1a12933e2ce1be4d5126204713c1fbf1e6,0
goncalvesfernanda,$2b$12$WjIoPE/sQ1mXoI8MX4kTC.txpGfp6jwuJy3rliRaL2at9ewSLdexO,94a3820370b25d46f7ae1ffc1f59e20ea1dbc8ad760d7b4b6091e1ccd051a466,0
raul98,$2b$12$nwlkO8lh.qp/s0pHOAmONuOaXM3ZrEbUlhCI7t1y2wM7YgKlZmE56,cc9b813e5a2d077cb2fa7d6127a9df5fec7dc2cf9a4f2bf5f1eb234c4804abd1,0
danteoliveira,$2b$12$suhJpersiPSpABsK1bfyWOraEXtq48uJpEi7IO7n5VkSckRe7ng56,4038419d0f22db4019e193bf18d68e4e00bcbc680e99d17f0d755c66ba262804,0
bruno40,$2b$12$cpzGHSGR87CwnCEeyO7tb.0vpEC2/44LEUZahFmJx2yH/ECjSm5lu,3975e4d9b50cfcda64b60e5968a36e50d3846336ff0708eac44cbe0545bf6070,0
estherfarias,$2b$12$df.qWFKN2.J5mSSwPMJ9zeGiRSRZG070pC0GgkARrj.N2J6tLl6kK,6d870d89067d89c258506f17756424ccbbd108866671cdd20fe634ae4e6ab6d8,0
wda-conceicao,$2b$12$ABbACZJSLvg0gDJQzfbH6OHqnhK.OVdysfFaGnplS/YuZc.8oE4y.,93e391811dc7b62b1e892ad033e17441e55b07c072c43de5b33107ddfec3eeae,0
orios,$2b$12$a8SQU854SagDsi7sxgdStuMhhRCaLNnGq351My3dmICDzlGBevlxe,83ab5104195955de7fa2b0c616f603603cf682b818bf72014dbc4038868153f4,0
nogueirathomas,$2b$12$Wo2XHbC/H7ZmRevXQ2x.hO0XiOM1CBe/eXCRURvV0Yj3d/oUA48mq,d20767ea94955d7aebd5498680fd80a92ababf47d3d85ecac00ebd5c56609169,0
davi-miguel12,$2b$12$oxAVtQ4xeQp04hvRwBRvQOAi88MIPNNDTRPfocg7MdKbnVy8E2ER6,29e239ce840a33e28e6c3dad19bcdad48df57e5d6ce7edb6a0a8557fa7653092,0
valentina71,$2b$12$tm/.u0VtGdKk2evPY1TWW.najrLhuLR2JFO/Ft77ijSZEpaX.a0Jy,ce81d00b881b7a09d3a6066208cc98f2ad89355b6bc59fc18efe9682b96112d9,0
pachecolarissa,$2b$12$hZ.8Z1ZwxWS4LhRh/ZH4n.XA4KzhlassnBpFRTT6n1eKRG9swYM5O,4afb8285b3d4215060cbce37d50c6af6f394c116e03d3e35ce2d9e51505554e9,0
leandro53,$2b$12$q5rvZK1aZ4Ec1qJc.2YV/eI4cmJyt.YQpcFsLYiNizX/r8MjDVxXS,b3c5aa341f9b7874f1fcff261eed6326633046e60ee5988a5c030a9c7ff6e7ea,0
nnunes,$2b$12$kE8d4fd9Q7LhlRta0PdCoe2FNvCgRc91i3uBUAeK9jl0iKbtdT29e,19700d06910a8fd87d06467f026acb2fe14652bcd4a22523792f31fc6ddcb4e9,0
igorbrito,$2b$12$sP2UP4A6DtiYTZDQU8FvaOa2OYpyGxohD9gL/KHijZazG1mbhFl/S,dc453351e21df79e4a352e9cd1421c902ea17018ca5391b11e24ffea6582cd30,0
garciabenjamim,$2b$12$pyqdgMGJXh86E7GurM372Ogin0PYlo2B3z5jYePmcjFnRE2cftwO.,3eac87fcbe3549128a1473dc4d01082ece63c627785677025a05a5ac1ccaf500,0
da-matabreno,$2b$12$dMl5MtpCcLSU0yHhTZcM4OtgASEgO3pdwYLz1Kj8oa1T9GLAOK7Fq,9f296dbd44b054f512f9cdf0dfb0a1395b8a4ea6377cb4bb83e94ba42abdace8,0
evelynporto,$2b$12$UGWJaqV8ByBAPKk06TyEI.nXAU5N/fGHxVIdzwqlp/Bhsb6J.Hc3W,4f8320e659d5b2936f854aa50a9a19a7f9e49c40164ed5cd686f60742316da48,0
heitorcardoso,$2b$12$gCrTQSRRK0W1nWCNcPKG.eWiE9bMMg7Hskaqg1VxHxf1dj8LK5u3y,722ba87c237263081ed7d50389f7935b93d98c9aff080571c5665b4a3ec46a83,0
britoolivia,$2b$12$FHeIBRfx9..rcXNeVcxoKuRTQnuZNREiWfcXvtW4XTLSwbTn7oai2,17c9583b8e7056a02fe747fcd804e7b292c3dec9c86d6f493bde4b2ee068506c,0
diasmirella,$2b$12$CFpkmtXs3f78TW79FbsHbeFuicorVaydfqaYIDfPRuNO8N1aFeFmW,acc1f0b254cf19b961aaf2477e14d684e8ad1fd508626f3f708d39dfbec537d4,0
pastordavi-lucca,$2b$12$Dzz5lZ1xq3FjnDX8DShB0emZuxHJvjQq.bb3WGjqq5snmc5iDDPF6,09ed4b8a0ef0406a07fa6094e91b034eef03bf8001de9eac4c5457552e511996,0
duartebella,$2b$12$Q3LgWYwfr8M1jCiXUcqWS.Gy8CQ.xPZyEpMHRavAe3X1lPPhOIrn6,9950e48d0633aab0a59a63f0173db36150cb3d0430b6975445135522dbe448e5,0
ysantos,$2b$12$wE6icIqASkgPAz6yF9glh.2DqXiwJVr7edK98H9tYbkyEBBI1QKaa,e469846439275f6bca9fd785238da062cb9f659403006785dad82b54aa9bb042,0
da-rosamaria,$2b$12$Ef1v8/Lh2sLCRCb.bmmxn.bRA3nyT5RReQeUWlRAzRz.LSzPFrVde,58e35d9eb69911f9b3a8ecd373792e168e9b0e0968c719795d73fe36b121425c,0
ogarcia,$2b$12$.PdlIgKMsQHV0FK3QoNE4ejyaqGCMc40n4WINJbt2/uadHK/E2k8C,374cc89438709204b9b61f2d5c4e0ef086253a504ace5317eff0772eca47efb8,0
carlos-eduardobarbosa,$2b$12$3b6sPCvwkloQlJpkxYo80.BBrRz7BwyZj7aAf5ua0MAGlx7DFLJpe,6fef248d5815d3d3248bd7703a0c700c7651cecfc0aaf2ebc5b76b2172cec3e3,0
yago02,$2b$12$l53tAreXzq0sRJ5.IXbcsejyYlrkNe1qTUk6Vx.b68NCZ6cd45yD.,bd1b05718aeabe23fb9c08449a5a84b59022bb809e8cee4ecf878a531d564e2a,0
montenegrocamila,$2b$12$A/FhhvU.9ZW9zOxtOE1vlemdXglo2MWx.LKptgEkDQguIkjEPHBcC,f83e81fe7eccebad11253f96e849415ec46cdc0c490df60ecf20ac1491cb0b1f,0
guerraravi,$2b$12$bDw0Ithzf4vPbgd.YxLzwebKwT9qxlHnbOLnVS7yBr5fLZVsXtuh.,9a465776d6fd261a27fab7f22f0e4ce771d28870d8cbc1d3fcc08b29c5388b2b,0
britovitor-hugo,$2b$12$jMnk1vfqvy4apPb.KzLE3uNj9VyTWNakpLz2qf6y4uVXuptleUAXm,0a7d642c59e6cd665295b26a4997d021b54c7afea21802148131eba5a78f3ebd,0
qfreitas,$2b$12$TWxQa6cRTwIr8oSIjlr2Hu09qw0RZo4JwUPoiLiHnB9zMrmf5xFoC,fd19155215bfc493fc545fa56bf85718be6e4d19a35a513f19a179f15c6e0736,0
qsales,$2b$12$n2bs02T.oUF1zMmchdhnx.4ZNiQqP6EpR2mrAK7.PnuF9YKZE6wlO,2e61047cc21b98011de1b24713e2c118f1ccb3ea2d0fe6e7231180fd4a823996,0
macedolucas,$2b$12$vtC5sG2PUNWSocpm5PD5..cr4o5Jrs64.TxLlxeZrvUDbH6kIC5aG,a53208c54475abd83aa1e8da2d81ad130f86bca96008a859b3eaf1f5d4920053,0
wduarte,$2b$12$9UNRDaOZ1kE/RWv6VUXGweO20spEZVrrrfv4OgVv28dYPA/9P4t92,df9e2e21cfe233292fc8337ab56a1844279cae250b8209f685263957da4963c8,0
montenegrobenicio,$2b$12$5dFrrGgRYQ2CA/dTWXkfD.DIBNhj8xzIX77GsA/KxUMaGVvI5OcJi,a0b7539d5406c90737a98e7fe976e98c074751e0f4120f26db45d31f1692c058,0
ana-lauramendonca,$2b$12$hdGiCPPNaTzVA4.cROqPze3h4cLpp47lHR4ubQANo.JO7o5BIFV82,c525b607351cdd140bb67dc8f6ef9a43aa9587c234bd31896353b2906feed3ce,0
ycorreia,$2b$12$rkkzgoMZo8RZ2Vbgkj04YOmWElx08Gb5ZxM2louNvPLq.E5Xr3A1C,1ca3fd0bbcbb6f037b37cdeb3db10e638710a08958d1cca8b982f90c6669bd47,0
thiagomelo,$2b$12$efpuT./DkYaqlW.sjxUgweqwz6Ze5WxBVkKKIp.H3Zh.JrsPl0.La,9994ec75bc9790ff63dec0d44fb25b08a7955d9dd6efd72926155c1b267f03bd,0
cassianodom,$2b$12$k.of0s/CHenIa9D.7lwLP.49mvbgxteoxodH0DMCzPJzc8nTrbBmC,addce7bb43bbc1eee40813cdfaeed06903e86a323e1e4a95d5b1582f2e3f6a68,0
monteirosofia,$2b$12$TnMw1e/qKgqHwYizR3mJe.8C5g6.ixDR6xtkWFxKThBRsAYyVmTmm,fafa2296f4bd577ee6bdbd61c9f629f9c859a1c1f1c0e99c793accfa5b159188,0
vargasyuri,$2b$12$FJP/hmjRgMRTbromZCA5tOYEkmI1Hs5TMBOTDK7uvYp/f5yrpkJ6C,1543c84a34485f75d22abf4f21e2f78e02a0f2699e7d197da09f0a57fec2c26f,0
vieiranoah,$2b$12$NezOFuaibnFOoi7g6WBKFusdVb3PVoHxFkHth3vdOYSbMrbsaQxe.,ce6b81f1c5f9952899ae5d6d14cd029a7e446bd86d5773453695b83d0da70334,0
pimentaclarice,$2b$12$./8OafMp8FMaa992T6rdRuQka1.exvuW4rSSmDfN2/cxd1GeKemTG,4352dcbb43d575a9e7b20b0ecb3a5a76788b20a46b3a1ad44238272b37d0a722,0
isaquevargas,$2b$12$2PbZWccw7BdgNCRvL70Co.u0ouPCuegc4GcSexSxVd35/HoIA36ZO,5a086f112fd85027b5538ef7367a05ec48c21eba11418303e992aacda909b651,0
theo39,$2b$12$bZyNACRX/4rTOVs6ZYHRr.Hon1ab0Zk4l.5o9WKnesDqpFcp0d37e,2758e555bd9d43de714af572605ad1c6847f7b307401c07b5622d57e795b4bc2,0
kfarias,$2b$12$atZiPIxGG0Mj/QslQdSe7e1mUPnIS/vb8FRnZpkpSmcwM29aG5pz.,826c02f429dcbbc481290cfa193651247f5af4efc8ec4fbb30589bd6e015161e,0
maria-clara11,$2b$12$zL/4eUb2tycnJyNeiWAanOjjTm0hxkq74IYTO73hY/XEC.Bj7UEa6,be4a1f7a2787fd99d1bd18440237b187b87d909bd646a035189b14af63acec17,0
uvargas,$2b$12$wJNChVTca13Yaf6e1pusluTmiwgdS86o3OY.fFe6NXy6/BcRKDa22,b5567c32ff48ce8194107b7d34aaf016d27fd48fc6ffa0d12302307dad975a27,0
luana78,$2b$12$6TX1gMxtbU97BVvBVBcb6uXdmmKwdh8e9jpgWqc7nKQpkHTyOuxdG,d57cb8fb7e5e3c492cbaac00f3adb2c40e6fdf7e68b2294d6a529e397d538220,0
kcasa-grande,$2b$12$GxPAt1phFACTESYdxF1cn.O1EpLL2Avt5M1dbLi95ksquZhmRuwDS,8da3c6356253be6df11689ff1f33c81892774757e3a5cf2eb0a23e201cb55327,0
dpimenta,$2b$12$gwgipF5eAW9W6N6XcgiEhOW7nrflx6HSW3SQCj3h5zrJBnvJgJLB6,4f615d00217c01084797f4d0b1a78bd0e45fc70407ced1f61bc2f383a496fb6e,0
moraescaue,$2b$12$eSahjCd3Dm3RQzyGtjFv8OJwf9xuc2Xg7uYN/PrQ4bGe31OdL0Jay,32772d152dbb56bc9fb816a208ce2807b038d69e1e09cc135cfc6dc92fa0e3c9,0
manuelaporto,$2b$12$9Tu6pCL0g.x3lhmpH1h80eIXFcZhIGgDlszAe1TSHRnCLrroJVkBW,907357117240bb1adf6f0aeb32bd632985a1127c5f30766fbaa66104704bf353,0
matheus94,$2b$12$mID5Ez4Q3GhiOa2EaW6O8uCQa6UGrHuANpPXVyaN.cEc/rooLnqiK,f9fa581534afa3d1f8788c81e4bc3fa1a6601be9cb07e4e139de59372cfcd341,0
marcos-vinicius75,$2b$12$JtjoQ6TGsrizjFxxscwJU.9OEkIogui8sZx51eLoBJ.kJj/q97XPG,b75f1cdafc8a3bc61cbbeb4ae1b4df063b023b1d33e3cee491f815970f71900d,0
yvargas,$2b$12$eklp1xIGGSYxZMQyPMF4uuXC6Wjt6net2nG5zgNhKR1xaeH/hiwHS,70c8d2aefddf160381ae5e169e78a60ff839ab1c221a4b99fc6305d0437c399a,0
zfernandes,$2b$12$qAWip/Wnw5cDCCyOD/UweOrs6oGcOjnpTDTAd8yz4/7kuUqAsIB5.,8d75f9e876d6e61844024549e06c1bb030f563d01bf2c74c31e9fd9bd96e4208,0
marcelo95,$2b$12$cjU.f7LKzDVsx2jlw2j1kuVANH5Qlnymf3DkeJ0MbMJnpywQ.nvsu,efa30ae45ce34c96ec53a2f1b4b3a746d50e3fa81ceb52e98540267055ba7016,0
trocha,$2b$12$.M0jTiiyFNjU5AyRxD5mKumjrld0Pfw55z5s8kLzujAKMMLiX.nLq,32c9cfa73e3ea6e45e278a8cddc2851b88f0470092aef91a5a791d5621422f5e,0
juliamontenegro,$2b$12$RIoc6ew3//qj8RoqLzbMrOkYl/78DFu8vqQUzZhbw4Opmldgcesr2,d6abd03929e5e83ac38d83253ccf55cf4ea429b20834b334d43f0a21ca1c0c93,0
bsa,$2b$12$urSH.UFnCy1fWjQHgDbn9.bXe2yYV1Qts5PhJsDLZADqt7xDUl1/q,b163718237975b65f57aecae877090cfb8ad96669254d0795a4223a9017cf611,0
rebecamendes,$2b$12$fJqWQaSEa7OPGmzzROhLauPJrtsmngdPiuIObgPjJKTRpnfF1HkZa,0964a4ce6cfaa4b7cf5f708c72aef1b0ef9f3e0c3bd29c4be163dcb9c40fd1f4,0
rguerra,$2b$12$KAOeRn2brVb1cN/o1DCOF.RS92g5rQDDHaFrRi5wH0.O5l2SsjIle,679a51a150a972814ff6d0202e15d42872415f436e2b6104325d5cd1cf5651bf,0
nfernandes,$2b$12$3.6oAenJNGsmX7WHqUdr/ewjblGz8Uskqft7XrxsFdT7WKZfOQOri,00b4cbd5ca048373a4cfbf9636f675d6345c4ee9aa552cee0e6fd90a96b04743,0
sousalorenzo,$2b$12$LMXlhQgtqJPuFgPz0Tsz6.ZJkzad/Jmc6RialZ7Su7WjZiipdt3Z6,e0af81b322f5f1e8bc80403b73a4e6d415e84e24130e014dd2d75ecdedf14ed7,0
salorenzo,$2b$12$EnCFSws6ATmQyS4K3e33sexrlVbWNyiITHUDIDaY7mmtvfqJttteq,7e2bc16078d5a386daf6d0f2ea07bb6d18dd1a543be083e5882f5c5ba7f03d4d,0
pporto,$2b$12$XbV/Lx/2dszvL/9T./UmsOxIyPmFJCBUiRHY4KcJm.vT/wWzSEwbm,2f84ff6a50322cfdabab9f979e74b2862432b6fa2e8b9e74a81fbae68f6bb848,0
rda-mota,$2b$12$yhbBncmKaE76Rse2mW3HZOUrHPq4MngTJC7ez570lkHOT0Dk1RWdC,057d3d74484147ccc721459c950be93f5e0a948a0ae96aca482e47caae266423,0
sousasofia,$2b$12$TcV87Rpmkbc8Yn8/kmymD.vep2ynlB73yi.femz9bbvdtbT9yUADu,bf5f8c354ae83bcb2e009fd48d143c7977347ba9445f2b8c9605c5aec84a4385,0
jferreira,$2b$12$Azj5wL0AlazkHJr1aUDhCu.sEMTf72zzUGHGFMwa61dPNFmtdt8ta,d2922b6ee07dae6332be436b62d643ded345b4148e54240c03623a28e4883bcb,0
hadassaalmeida,$2b$12$X.Hdhgsmv5..8DM.6acN5OyMZp5stzRm5JsiTUhDWtdy/EBH7QkD.,f0e70e47c02b313fde223f0b7c1ff28aa2574bfb0bb6dbfeba100e6f63418e39,0
nsiqueira,$2b$12$SS4RQ3GhWV.tvt1Hw.Yux.0I6n1jw34w7A5fCQWWlWCO8qFgly68O,98221331cfaaaf06d89bf10464fdf7311728093cbac49c3e14608d5a727b240a,0
nascimentoluisa,$2b$12$EWrgzaaPeqpIqZmGEt4QxenKKUnnKGPZWDT/QcERFUoscUWM6HC5y,d5b712e73db07a60ed989c6cd8ae4a5af7e11aa59bd2286369ede833845fa3ff,0
lleao,$2b$12$BU9GXtPcGKaYZh2E5YF5ku64.nyPeh/UaHX4ezLaHh.9vMljsBnm6,6966343f8bc4213bb4138552d628430495934d38c86ee668b2397463bac57b77,0
aparecidajulia,$2b$12$dPv8wMvp.yp7WL1XCiIfuugJgRR.eko93IiKiGdgm4ZEiuww1lNOC,6ddd49bfdeaf3c4876b3f7f33ceb5709930c76295192f48b3f7ef0a504d745cb,0
aylla46,$2b$12$SFJ7PECtpBPBRls331Er.OgBdhIJOhYdFkiDrn1J5TaIMWCBEhDDm,15124b1ef9b7afa8c70e3ada2001ae10f1412f7a21340334c1a8d30b6f54a55e,0
maria-helena26,$2b$12$djlu42f8hSYP77I4k8EoEOvZ8baxKA8YGLmzl1/tI9.aMOt1vwHWK,2d400f04ef9bfb19caced01234c95c813bbaa1ca58c8ee0cd7fd8e619573a724,0
enrico74,$2b$12$ojmpBlSd0.8DWHCHWBToYOlO20SFDGz8weghFpLDZkBr6QXc7VY4G,c415bfec334290c07004b5d5879a0efc2ad4c6f6667a3736ba6de757781dce4d,0
wvargas,$2b$12$SpSt.PS8x0nOdEi40M2oI./GFNm9865IpVR4szFsqEIUAAuBS8eKe,ca5d1bf04ca83294d0212dbb6aa012fece79d6addf787874318350b5c9e50482,0
da-costaluisa,$2b$12$Gs3wtOUS3fS3Ga9BcdQsr.gZGuB27PBrHwYYJ9oYFOLQ1kUmEasa6,052d90f10e0836c9ff365d62d531c13580e137060b96d368fe3495f82bfbcb07,0
joaofreitas,$2b$12$n9KrKX2Ny1lCQE0tM62zxOIf6bn14xOLnHSyQTLlkdXomPbEfl5SG,ddad74fc18e159d7f56a9bf1b3110d9866d37e2972cbf52d7b7c7f53a005f6c4,0
tribeiro,$2b$12$vdJBlDgWqZufI6LtjTvkL.QedVnzzW7KOifP0MnCk57DWURybDeQu,55e050d380eb7782ba871dbeb510ca68c2ef9154b9ca8dc56de472b1767e30b4,0
bnunes,$2b$12$20j8jF6HtVFyzUmPok.RJeqq5o99x3QwpTwNNpW8bW0YIq650YH8.,f2fde8a8eef47460d1a755b57d1817c7a5d131530b9a846dbb847e9d312f63ae,0
ana-vitoriafonseca,$2b$12$dp/UnMgKKXZfbrilSBfnjuz1Ad8T6deQN1MLK.0Wt/VKANCe8Psr2,ac2dcb19f9259b8659eb0f0f7e011e03e49662dedd0879b47a4264fcb0385ac2,0
pedro18,$2b$12$g0tSM1kbPWMGpqK04BMYcecFomto35xGcrujZdi.mYxKWUO2VGPdW,4a8950f5460d04c1aa9ffdeeb32dbbb21be4f1dd40a51165cf72c07c6733490e,0
